method,subset,n,mean_em,em_ci_lo,em_ci_hi,mean_f1,f1_ci_lo,f1_ci_hi
raw,all,60,0.16666666666666666,0.08333333333333333,0.26666666666666666,0.5609410741655265,0.4676810885456672,0.6519341547040476
raw,retrieval_hit,52,0.19230769230769232,0.09615384615384616,0.3076923076923077,0.6386926924132144,0.5472455316954763,0.7256110584945107
raw,retrieval_miss,8,0.0,0.0,0.0,0.05555555555555555,0.0,0.1388888888888889
lspm,all,60,0.23333333333333334,0.13333333333333333,0.35,0.5815679470593264,0.4905419909273357,0.6720034153904842
lspm,retrieval_hit,52,0.25,0.1346153846153846,0.36538461538461536,0.6434758363505048,0.5551526155008416,0.7288456131530567
lspm,retrieval_miss,8,0.125,0.0,0.375,0.17916666666666667,0.0125,0.4291666666666667
naive,all,60,0.13333333333333333,0.05,0.23333333333333334,0.5251037713507286,0.4354426516922714,0.6120185038873678
naive,retrieval_hit,52,0.15384615384615385,0.057692307692307696,0.25,0.5840940951482767,0.4921649401751358,0.6706481927584429
naive,retrieval_miss,8,0.0,0.0,0.0,0.14166666666666666,0.016666666666666666,0.30833333333333335
