comparison,metric,margin,mean_diff,tost_p,equivalent
lspm_r0.3 vs raw,f1,0.05,-0.014550008025300465,0.037836854419932786,True
naive_r0.3 vs raw,f1,0.05,-0.1282651275883549,0.996510916413982,False
lspm_r0.5 vs raw,f1,0.05,-0.026724565506443008,0.0869845268060565,False
naive_r0.5 vs raw,f1,0.05,-0.08832493391552718,0.9222864796643683,False
lspm_r0.7 vs raw,f1,0.05,-0.0028622098661051126,0.003025750437323449,True
naive_r0.7 vs raw,f1,0.05,-0.06050997780019737,0.6582765104453864,False
