method,ratio,n,mean_em,em_ci_lo,em_ci_hi,mean_f1,f1_ci_lo,f1_ci_hi
raw,1.0,140,0.29285714285714287,0.22142857142857142,0.37142857142857144,0.6643480965249493,0.6096969588326226,0.716746269984412
lspm,0.3,140,0.3142857142857143,0.2357142857142857,0.39285714285714285,0.6497980884996488,0.5936853635385627,0.7046422011415251
naive,0.3,140,0.25,0.17857142857142858,0.32142857142857145,0.5360829689365945,0.4723155154316082,0.5993579085558661
lspm,0.5,140,0.3,0.22857142857142856,0.37857142857142856,0.6376235310185063,0.5795820707147413,0.6929304720349262
naive,0.5,140,0.29285714285714287,0.22142857142857142,0.37142857142857144,0.5760231626094222,0.5119278215388623,0.6386396287045656
lspm,0.7,140,0.3,0.22857142857142856,0.37857142857142856,0.6614858866588443,0.6064375661624328,0.717245451628664
naive,0.7,140,0.2857142857142857,0.21428571428571427,0.36428571428571427,0.6038381187247519,0.5436161953711396,0.6625765240135153
