epoch,t_seconds,gpu_cache_usage_perc,error
1787808423.075,0.0,0.0,
1787808424.09,1.02,0.0,
1787808425.105,2.03,0.0,
1787808426.119,3.04,0.0,
1787808427.133,4.06,0.0,
1787808428.147,5.07,0.0,
1787808429.162,6.09,0.0,
1787808430.176,7.1,0.0,
1787808431.19,8.11,0.0,
1787808432.206,9.13,0.0,
1787808433.222,10.15,0.0,
1787808434.238,11.16,0.0,
1787808435.255,12.18,0.0,
1787808436.272,13.2,0.0,
1787808437.288,14.21,0.0,
1787808438.305,15.23,0.0,
1787808439.322,16.25,0.002847200253084492,
1787808440.34,17.26,0.0031635558367605343,
1787808441.359,18.28,0.0,
1787808442.375,19.3,0.0031635558367605343,
1787808443.392,20.32,0.0,
1787808444.409,21.33,0.0,
1787808445.425,22.35,0.0,
1787808446.441,23.37,0.0,
1787808447.459,24.38,0.0,
1787808448.474,25.4,0.0,
1787808449.489,26.41,0.0,
1787808450.505,27.43,0.0,
1787808451.522,28.45,0.0,
1787808452.538,29.46,0.0,
1787808453.553,30.48,0.0,
1787808454.569,31.49,0.0,
1787808455.585,32.51,0.0034799114204365766,
1787808456.601,33.53,0.0,
1787808457.617,34.54,0.0,
1787808458.635,35.56,0.0,
1787808459.65,36.57,0.0,
1787808460.666,37.59,0.0,
1787808461.681,38.61,0.002847200253084492,
1787808462.697,39.62,0.0,
1787808463.712,40.64,0.0,
1787808464.728,41.65,0.0,
1787808465.744,42.67,0.0,
1787808466.758,43.68,0.0,
1787808467.775,44.7,0.0,
1787808468.79,45.71,0.002847200253084492,
1787808469.806,46.73,0.0025308446694084497,
1787808470.823,47.75,0.0,
1787808471.839,48.76,0.0,
1787808472.856,49.78,0.0,
1787808473.873,50.8,0.0,
1787808474.889,51.81,0.0,
1787808475.905,52.83,0.0031635558367605343,
1787808476.922,53.85,0.0,
1787808477.938,54.86,0.0,
1787808478.954,55.88,0.002847200253084492,
1787808479.97,56.89,0.0,
1787808480.985,57.91,0.0,
1787808482.001,58.93,0.0,
1787808483.016,59.94,0.0,
1787808484.032,60.96,0.0,
1787808485.048,61.97,0.0,
1787808486.064,62.99,0.0,
1787808487.079,64.0,0.0,
1787808488.094,65.02,0.0031635558367605343,
1787808489.111,66.04,0.0,
1787808490.126,67.05,0.0,
1787808491.141,68.07,0.0,
1787808492.157,69.08,0.0,
1787808493.174,70.1,0.0,
1787808494.191,71.12,0.0,
1787808495.206,72.13,0.0,
1787808496.222,73.15,0.0,
1787808497.238,74.16,0.0,
1787808498.258,75.18,0.0,
1787808499.276,76.2,0.0,
1787808500.292,77.22,0.0,
1787808501.309,78.23,0.0031635558367605343,
1787808502.331,79.26,0.0,
1787808503.351,80.28,0.0,
1787808504.367,81.29,0.002847200253084492,
1787808505.388,82.31,0.0,
1787808506.405,83.33,0.0,
1787808507.42,84.34,0.0,
1787808508.436,85.36,0.002847200253084492,
1787808509.453,86.38,0.0,
1787808510.468,87.39,0.0,
1787808511.484,88.41,0.0,
1787808512.501,89.43,0.0,
1787808513.518,90.44,0.0,
1787808514.536,91.46,0.0,
1787808515.552,92.48,0.0,
1787808516.566,93.49,0.0,
1787808517.585,94.51,0.0,
1787808518.599,95.52,0.0,
1787808519.614,96.54,0.0,
1787808520.629,97.55,0.0,
1787808521.644,98.57,0.0,
1787808522.654,99.58,0.0,
