Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.3],1095,0,6,7.298839164336455,3.86400381103158,38.33461203612387,0.0,12.8793768715969,0.0,6,7,7,8,9,12,23,33,38,38,38
CUSTOM,tokens_per_sec[naive_r0.3],1095,0,60,60.15321989825493,56.54599678917686,77.12876253085709,36.84748858447489,12.8793768715969,0.0,60,61,61,61,63,64,72,73,77,77,77
CUSTOM,ttft_ms[naive_r0.3],1095,0,54,54.64713401926605,42.045359034091234,95.62821895815432,0.0,12.8793768715969,0.0,54,57,59,60,62,64,74,87,95,96,96
,Aggregated,3285,0,54,40.699731027285715,3.86400381103158,95.62821895815432,12.282496194824962,38.6381306147907,0.0,54,58,59,60,62,63,69,73,93,96,96
