Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[raw],4820,0,9,10.592077753247686,3.9633819833397865,357.3219769168645,0.0,54.039714644001464,0.0,9,10,12,13,16,20,35,48,83,360,360
CUSTOM,tokens_per_sec[raw],4820,0,51,99.1224075046398,27.831985708854056,94586.749375268,22.603941908713693,54.039714644001464,0.0,51,52,53,53,55,58,60,61,82,95000,95000
CUSTOM,ttft_ms[raw],4820,0,66,67.86472103138226,43.852792121469975,401.89424180425704,0.0,54.039714644001464,0.0,66,70,72,74,78,82,95,110,360,400,400
,Aggregated,14460,0,51,59.19306876308988,3.9633819833397865,94586.749375268,7.534647302904564,162.1191439320044,0.0,51,55,61,64,71,75,81,88,150,88000,95000
