epoch,t_seconds,gpu_cache_usage_perc,error
1787812457.635,0.0,0.0,
1787812458.65,1.02,0.0,
1787812459.664,2.03,0.0,
1787812460.679,3.04,0.0,
1787812461.693,4.06,0.0,
1787812462.709,5.07,0.0,
1787812463.724,6.09,0.0,
1787812464.74,7.1,0.0,
1787812465.762,8.13,0.0034799114204365766,
1787812466.779,9.14,0.006010756089845026,
1787812467.8,10.17,0.005378044922492831,
1787812468.818,11.18,0.006010756089845026,
1787812469.835,12.2,0.005061689338816788,
1787812470.854,13.22,0.006327111673521069,
1787812471.871,14.24,0.003796267004112619,
1787812472.888,15.25,0.004745333755140746,
1787812473.907,16.27,0.0031635558367605343,
1787812474.923,17.29,0.005061689338816788,
1787812475.94,18.31,0.005378044922492831,
1787812476.956,19.32,0.004745333755140746,
1787812477.972,20.34,0.007592534008225238,
1787812478.989,21.35,0.005061689338816788,
1787812480.011,22.38,0.005694400506168984,
1787812481.029,23.39,0.005694400506168984,
1787812482.046,24.41,0.006643467257197111,
1787812483.063,25.43,0.004112622587788661,
1787812484.081,26.45,0.006327111673521069,
1787812485.097,27.46,0.004112622587788661,
1787812486.113,28.48,0.006959822840873153,
1787812487.13,29.5,0.005694400506168984,
1787812488.147,30.51,0.007276178424549196,
1787812489.163,31.53,0.005694400506168984,
1787812490.178,32.54,0.004428978171464704,
1787812491.195,33.56,0.00790888959190128,
1787812492.211,34.58,0.004428978171464704,
1787812493.227,35.59,0.005061689338816788,
1787812494.243,36.61,0.005694400506168984,
1787812495.259,37.62,0.007276178424549196,
1787812496.277,38.64,0.004745333755140746,
1787812497.295,39.66,0.005694400506168984,
1787812498.312,40.68,0.006327111673521069,
1787812499.329,41.69,0.004428978171464704,
1787812500.345,42.71,0.006959822840873153,
1787812501.363,43.73,0.004428978171464704,
1787812502.378,44.74,0.008857956342929407,
1787812503.394,45.76,0.005061689338816788,
1787812504.413,46.78,0.007592534008225238,
1787812505.43,47.8,0.006643467257197111,
1787812506.448,48.81,0.006643467257197111,
1787812507.466,49.83,0.006010756089845026,
1787812508.482,50.85,0.004428978171464704,
1787812509.501,51.87,0.005694400506168984,
1787812510.517,52.88,0.005061689338816788,
1787812511.534,53.9,0.008541600759253365,
1787812512.55,54.92,0.006327111673521069,
1787812513.568,55.93,0.006010756089845026,
1787812514.584,56.95,0.005378044922492831,
1787812515.6,57.97,0.0034799114204365766,
1787812516.616,58.98,0.006010756089845026,
1787812517.633,60.0,0.004112622587788661,
1787812518.65,61.02,0.007276178424549196,
1787812519.667,62.03,0.006010756089845026,
1787812520.684,63.05,0.007592534008225238,
1787812521.699,64.06,0.004112622587788661,
1787812522.716,65.08,0.004112622587788661,
1787812523.733,66.1,0.005061689338816788,
1787812524.75,67.12,0.005061689338816788,
1787812525.766,68.13,0.005061689338816788,
1787812526.78,69.15,0.003796267004112619,
1787812527.797,70.16,0.007276178424549196,
1787812528.812,71.18,0.0034799114204365766,
1787812529.827,72.19,0.0034799114204365766,
1787812530.842,73.21,0.006643467257197111,
1787812531.858,74.22,0.006959822840873153,
1787812532.873,75.24,0.006010756089845026,
1787812533.889,76.25,0.006643467257197111,
1787812534.905,77.27,0.005378044922492831,
1787812535.92,78.29,0.008225245175577323,
1787812536.937,79.3,0.006959822840873153,
1787812537.954,80.32,0.007592534008225238,
1787812538.973,81.34,0.005378044922492831,
1787812539.991,82.36,0.008541600759253365,
1787812541.008,83.37,0.004428978171464704,
1787812542.023,84.39,0.008225245175577323,
1787812543.04,85.41,0.004428978171464704,
1787812544.056,86.42,0.005378044922492831,
1787812545.071,87.44,0.005378044922492831,
1787812546.088,88.45,0.008225245175577323,
1787812547.104,89.47,0.006327111673521069,
1787812548.121,90.49,0.005694400506168984,
1787812549.137,91.5,0.006327111673521069,
1787812550.155,92.52,0.005061689338816788,
1787812551.17,93.54,0.0,
1787812552.186,94.55,0.0,
1787812553.202,95.57,0.0,
1787812554.218,96.58,0.0,
1787812555.233,97.6,0.0,
1787812556.248,98.61,0.0,
1787812557.263,99.63,0.0,
