Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.5],2660,0,6,7.487911154705107,3.490902017802,44.284062925726175,0.0,31.233269006352906,0.0,6,7,8,8,10,12,25,35,43,44,44
CUSTOM,tokens_per_sec[naive_r0.5],2660,0,60,60.3035873982675,55.18884405800879,83.1235902291418,15.560526315789474,31.233269006352906,0.0,60,60,61,61,64,67,70,71,74,83,83
CUSTOM,ttft_ms[naive_r0.5],2660,0,55,55.75111563058388,31.054795952513814,102.59640589356422,0.0,31.233269006352906,0.0,55,58,60,61,63,66,75,87,100,100,100
,Aggregated,7980,0,55,41.180871394518896,3.490902017802,102.59640589356422,5.186842105263158,93.69980701905871,0.0,55,59,60,60,62,65,69,72,98,100,100
