Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[lspm_r0.7],2546,0,7,8.176403759941401,2.6409218553453684,66.24291581101716,0.0,28.551992777711007,0.0,7,8,9,9,11,14,28,35,45,66,66
CUSTOM,tokens_per_sec[lspm_r0.7],2546,0,58,58.56097704731814,53.51648286019661,84.33907914076171,22.84328358208955,28.551992777711007,0.0,58,59,60,60,63,66,68,69,74,84,84
CUSTOM,ttft_ms[lspm_r0.7],2546,0,57,58.00997004531491,41.49340884760022,112.82144905999303,0.0,28.551992777711007,0.0,57,60,62,63,66,69,83,91,110,110,110
,Aggregated,7638,0,56,41.58245028419146,2.6409218553453684,112.82144905999303,7.614427860696518,85.65597833313302,0.0,56,58,59,60,63,66,69,73,110,110,110
