Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[lspm_r0.3],54,0,8,8.230561882050502,6.206905003637075,18.237395910546184,0.0,0.6078809517000109,0.0,8,8,9,9,10,11,16,18,18,18,18
CUSTOM,tokens_per_sec[lspm_r0.3],54,0,63,64.05688306139766,60.92884129969855,71.95267397870924,20.444444444444443,0.6078809517000109,0.0,63,64,65,65,71,72,72,72,72,72,72
CUSTOM,ttft_ms[lspm_r0.3],54,0,32,33.01045601256192,29.489581007510424,45.63831305131316,0.0,0.6078809517000109,0.0,32,33,33,34,36,40,42,46,46,46,46
,Aggregated,162,0,32,35.09930031867002,6.206905003637075,71.95267397870924,6.814814814814815,1.8236428551000328,0.0,32,42,62,62,64,65,72,72,72,72,72
