Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.7],4663,0,8,9.975951451617675,2.7180679608136415,373.2469219248742,0.0,54.735152299273764,0.0,8,10,11,12,15,21,34,41,50,370,370
CUSTOM,tokens_per_sec[naive_r0.7],4663,0,53,89.1397691812115,28.069072011561794,82925.06091376858,22.187432983058116,54.735152299273764,0.0,53,54,55,55,56,58,61,62,340,83000,83000
CUSTOM,ttft_ms[naive_r0.7],4663,0,64,64.87312113003193,37.59290790185332,431.54566502198577,0.0,54.735152299273764,0.0,64,67,69,70,74,79,88,98,390,430,430
,Aggregated,13989,0,53,54.66294725428719,2.7180679608136415,82925.06091376858,7.395810994352706,164.2054568978213,0.0,53,55,59,62,68,72,78,85,350,80000,83000
