Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.3],2130,0,6,7.8980892713011155,3.2729420345276594,64.14946494624019,0.0,25.009512643844026,0.0,6,8,8,9,11,13,31,36,54,64,64
CUSTOM,tokens_per_sec[naive_r0.3],2130,0,56,56.3334313143106,51.82130145706167,73.42281918249437,35.24366197183099,25.009512643844026,0.0,56,57,58,58,60,61,66,68,71,73,73
CUSTOM,ttft_ms[naive_r0.3],2130,0,59,59.188426727595186,44.613033067435026,120.40260201320052,0.0,25.009512643844026,0.0,59,62,64,65,67,70,79,89,120,120,120
,Aggregated,6390,0,54,41.139982437735696,3.2729420345276594,120.40260201320052,11.747887323943662,75.02853793153209,0.0,54,56,58,59,63,66,70,74,96,120,120
