Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.5],5084,0,9,10.971835030879925,3.3684219233691692,439.91502304561436,0.0,59.683467191193934,0.0,9,11,12,13,17,22,37,54,110,440,440
CUSTOM,tokens_per_sec[naive_r0.5],5084,0,55,70.92780098157918,25.91206065212337,73511.52329780722,15.814516129032258,59.683467191193934,0.0,55,55,56,57,60,62,65,66,72,74000,74000
CUSTOM,ttft_ms[naive_r0.5],5084,0,63,64.60038982384877,32.92051889002323,496.68325996026397,0.0,59.683467191193934,0.0,63,66,69,70,74,79,92,110,170,500,500
,Aggregated,15252,0,54,48.83334194543619,3.3684219233691692,73511.52329780722,5.271505376344086,179.0504015735818,0.0,54,56,60,62,68,72,78,87,160,4500,74000
