epoch,t_seconds,gpu_cache_usage_perc,error
1787811146.254,0.0,0.0,
1787811147.27,1.02,0.0,
1787811148.285,2.03,0.0,
1787811149.301,3.05,0.0,
1787811150.31,4.06,0.0,
1787811151.325,5.07,0.0,
1787811152.342,6.09,0.0,
1787811153.357,7.1,0.0,
1787811154.373,8.12,0.0,
1787811155.389,9.13,0.0,
1787811156.405,10.15,0.0,
1787811157.423,11.17,0.0,
1787811158.441,12.19,0.0,
1787811159.459,13.2,0.0,
1787811160.476,14.22,0.0,
1787811161.492,15.24,0.0,
1787811162.51,16.26,0.0,
1787811163.53,17.28,0.0,
1787811164.546,18.29,0.0,
1787811165.567,19.31,0.0,
1787811166.585,20.33,0.0,
1787811167.601,21.35,0.0,
1787811168.618,22.36,0.0,
1787811169.636,23.38,0.0,
1787811170.652,24.4,0.0,
1787811171.671,25.42,0.006327111673521069,
1787811172.689,26.43,0.0,
1787811173.706,27.45,0.005378044922492831,
1787811174.722,28.47,0.005694400506168984,
1787811175.74,29.49,0.0,
1787811176.756,30.5,0.0,
1787811177.775,31.52,0.0,
1787811178.793,32.54,0.005694400506168984,
1787811179.813,33.56,0.005694400506168984,
1787811180.83,34.58,0.0,
1787811181.848,35.59,0.006327111673521069,
1787811182.863,36.61,0.0,
1787811183.88,37.63,0.0,
1787811184.895,38.64,0.005694400506168984,
1787811185.91,39.66,0.0,
1787811186.926,40.67,0.0,
1787811187.941,41.69,0.0,
1787811188.957,42.7,0.0,
1787811189.972,43.72,0.0,
1787811190.989,44.73,0.0,
1787811192.004,45.75,0.0,
1787811193.02,46.77,0.006327111673521069,
1787811194.036,47.78,0.0,
1787811195.051,48.8,0.0,
1787811196.067,49.81,0.0,
1787811197.083,50.83,0.0,
1787811198.097,51.84,0.0,
1787811199.114,52.86,0.0,
1787811200.128,53.87,0.0,
1787811201.144,54.89,0.005694400506168984,
1787811202.16,55.91,0.0,
1787811203.176,56.92,0.005694400506168984,
1787811204.192,57.94,0.0,
1787811205.208,58.95,0.0,
1787811206.223,59.97,0.0,
1787811207.238,60.98,0.0,
1787811208.256,62.0,0.0,
1787811209.272,63.02,0.0,
1787811210.287,64.03,0.0,
1787811211.303,65.05,0.0,
1787811212.319,66.06,0.0,
1787811213.336,67.08,0.005694400506168984,
1787811214.354,68.1,0.0,
1787811215.37,69.12,0.0,
1787811216.387,70.13,0.0,
1787811217.403,71.15,0.0,
1787811218.42,72.17,0.0,
1787811219.438,73.18,0.0,
1787811220.455,74.2,0.0,
1787811221.473,75.22,0.0,
1787811222.489,76.23,0.005694400506168984,
1787811223.506,77.25,0.0,
1787811224.523,78.27,0.006010756089845026,
1787811225.54,79.29,0.0,
1787811226.559,80.3,0.0,
1787811227.577,81.32,0.0,
1787811228.596,82.34,0.005378044922492831,
1787811229.616,83.36,0.0,
1787811230.632,84.38,0.0,
1787811231.649,85.39,0.0,
1787811232.66,86.41,0.0,
1787811233.679,87.43,0.005378044922492831,
1787811234.697,88.44,0.0,
1787811235.712,89.46,0.0,
1787811236.728,90.47,0.006010756089845026,
1787811237.746,91.49,0.0,
1787811238.761,92.51,0.006010756089845026,
1787811239.778,93.52,0.0,
1787811240.794,94.54,0.0,
1787811241.809,95.55,0.0,
1787811242.825,96.57,0.005694400506168984,
1787811243.84,97.59,0.0,
1787811244.858,98.6,0.0,
1787811245.866,99.61,0.0,
