Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.5],544,0,7,8.027339410225121,4.223831929266453,33.419287065044045,0.0,6.392810586286219,0.0,7,8,9,9,10,12,19,28,33,33,33
CUSTOM,tokens_per_sec[naive_r0.5],544,0,63,63.72964713651874,59.81135533904543,74.61601171805872,15.930147058823529,6.392810586286219,0.0,63,64,64,64,70,71,73,74,75,75,75
CUSTOM,ttft_ms[naive_r0.5],544,0,51,49.747799280500175,28.054896974936128,81.41459408216178,0.0,6.392810586286219,0.0,51,54,56,57,60,61,65,79,81,81,81
,Aggregated,1632,0,51,40.50159527574798,4.223831929266453,81.41459408216178,5.310049019607843,19.178431758858657,0.0,51,61,62,63,64,66,72,74,81,81,81
