mode,concurrency,n_ok,n_error,pruning_latency_ms_mean,pruning_latency_ms_p95,ttft_ms_mean,ttft_ms_p95,total_latency_ms_mean,total_latency_ms_p95,throughput_req_per_s,throughput_tokens_per_s
raw,1,60,0,0.0,0.0,38.8,41.6,381.8,710.4,2.617,57.5
raw,5,60,0,0.0,0.0,54.0,66.8,436.2,749.0,11.231,268.4
raw,10,60,0,0.0,0.0,64.8,84.0,399.6,787.7,22.847,467.2
raw,20,60,0,0.0,0.0,102.6,129.8,516.2,926.7,35.202,837.8
lspm,1,60,0,33.3,30.3,65.7,65.4,409.1,732.1,2.443,53.7
lspm,5,60,0,69.9,301.1,125.1,365.7,534.6,849.5,8.891,221.5
lspm,10,54,0,191.3,501.5,248.5,555.7,612.8,1016.7,13.531,295.2
lspm,20,27,0,375.4,771.0,433.5,832.4,838.3,1040.1,10.148,251.1
naive,1,60,0,0.2,0.2,37.8,39.4,278.3,428.6,3.59,56.4
naive,5,60,0,0.2,0.2,53.3,66.5,309.0,415.9,14.694,239.8
naive,10,60,0,0.2,0.2,60.3,78.5,301.2,416.2,28.905,435.5
naive,20,60,0,0.2,0.2,81.1,105.0,347.4,463.4,48.482,762.8
