Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.5],1363,0,6,7.07288014925251,3.9072358049452305,35.62839701771736,0.0,16.02489363715473,0.0,6,7,7,8,9,10,18,30,34,36,36
CUSTOM,tokens_per_sec[naive_r0.5],1363,0,62,62.561528779065725,58.27652514457177,78.22332911939199,15.973587674247982,16.02489363715473,0.0,62,63,63,63,67,70,73,73,78,78,78
CUSTOM,ttft_ms[naive_r0.5],1363,0,53,52.92425738727525,27.740326011553407,83.82735005579889,0.0,16.02489363715473,0.0,53,55,57,58,60,62,71,74,83,84,84
,Aggregated,4089,0,53,40.85288877186449,3.9072358049452305,83.82735005579889,5.324529224749328,48.074680911464185,0.0,53,60,61,61,63,64,71,73,81,84,84
