Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[lspm_r0.3],1274,0,6,6.916602905342587,3.981576068326831,34.585564164444804,0.0,14.982091228686809,0.0,6,7,7,7,8,10,22,31,34,35,35
CUSTOM,tokens_per_sec[lspm_r0.3],1274,0,61,61.231936982341765,57.593808741071534,76.276443315138,21.751962323390895,14.982091228686809,0.0,61,61,62,62,63,69,70,70,72,76,76
CUSTOM,ttft_ms[lspm_r0.3],1274,0,53,53.33096031545482,28.06227281689644,96.87132807448506,0.0,14.982091228686809,0.0,53,56,57,58,60,62,71,86,96,97,97
,Aggregated,3822,0,53,40.49316673437977,3.981576068326831,96.87132807448506,7.250654107796965,44.94627368606043,0.0,53,59,60,60,62,63,70,70,95,97,97
