Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.5],576,0,7,7.196003660889498,3.5898589994758368,35.7827281113714,0.0,6.462874904037406,0.0,7,7,7,8,9,10,19,29,36,36,36
CUSTOM,tokens_per_sec[naive_r0.5],576,0,63,63.67428211535657,59.59354718848154,80.28159901489585,16.119791666666668,6.462874904037406,0.0,63,64,64,64,70,71,74,75,80,80,80
CUSTOM,ttft_ms[naive_r0.5],576,0,49,47.68784164278057,27.8341940138489,79.43737599998713,0.0,6.462874904037406,0.0,49,52,54,55,57,59,66,76,79,79,79
,Aggregated,1728,0,49,39.51937580634221,3.5898589994758368,80.28159901489585,5.373263888888889,19.388624712112218,0.0,49,61,62,62,64,65,72,74,79,80,80
