Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.7],2632,0,7,7.795811620435471,4.257955821231008,57.310687843710184,0.0,29.520186766693552,0.0,7,8,8,9,10,13,24,32,48,57,57
CUSTOM,tokens_per_sec[naive_r0.7],2632,0,59,59.22126540505906,54.11084998260134,72.989001175623,21.864741641337385,29.520186766693552,0.0,59,60,60,61,62,63,66,68,71,73,73
CUSTOM,ttft_ms[naive_r0.7],2632,0,56,56.216486043397246,29.839748982340097,113.02547203376889,0.0,29.520186766693552,0.0,56,59,61,61,64,67,74,81,110,110,110
,Aggregated,7896,0,55,41.07785435629718,4.257955821231008,113.02547203376889,7.288247213779129,88.56056030008065,0.0,55,58,59,60,62,64,67,70,90,110,110
