Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[raw],4834,0,8,10.472431015440971,3.367108991369605,365.80489994958043,0.0,54.01399553960265,0.0,8,10,12,13,16,21,37,46,74,370,370
CUSTOM,tokens_per_sec[raw],4834,0,51,51.76813593687252,25.375668763833765,66.74651023237621,22.58771203971866,54.01399553960265,0.0,51,52,53,53,55,58,60,61,64,67,67
CUSTOM,ttft_ms[raw],4834,0,66,67.46226295799535,44.09768292680383,427.73180990479887,0.0,54.01399553960265,0.0,66,70,72,74,78,83,95,110,150,430,430
,Aggregated,14502,0,51,43.23427663676962,3.367108991369605,427.73180990479887,7.529237346572886,162.04198661880793,0.0,51,56,61,64,71,75,81,89,140,370,430
