Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.3],1156,0,7,7.9142604636312,4.793063970282674,47.39218484610319,0.0,12.965970466027468,0.0,7,8,8,9,10,13,22,33,43,47,47
CUSTOM,tokens_per_sec[naive_r0.3],1156,0,60,60.234229440102546,55.96199510639171,79.57079744541076,36.463667820069205,12.965970466027468,0.0,60,61,61,62,62,64,72,73,76,80,80
CUSTOM,ttft_ms[naive_r0.3],1156,0,55,55.18982382986701,42.30022802948952,90.48354299739003,0.0,12.965970466027468,0.0,55,58,59,60,62,65,74,81,86,90,90
,Aggregated,3468,0,55,41.11277124453355,4.793063970282674,90.48354299739003,12.154555940023068,38.89791139808241,0.0,55,59,60,60,62,63,69,73,85,90,90
