epoch,t_seconds,gpu_cache_usage_perc,error
1787804791.736,0.0,0.0,
1787804792.746,1.01,0.0,
1787804793.755,2.02,0.0,
1787804794.771,3.03,0.0,
1787804795.78,4.04,0.0,
1787804796.796,5.06,0.0,
1787804797.812,6.08,0.0,
1787804798.828,7.09,0.0,
1787804799.844,8.11,0.004112622587788661,
1787804800.86,9.12,0.0,
1787804801.875,10.14,0.0,
1787804802.891,11.16,0.0,
1787804803.907,12.17,0.0,
1787804804.923,13.19,0.0,
1787804805.94,14.2,0.0,
1787804806.958,15.22,0.0,
1787804807.974,16.24,0.003796267004112619,
1787804808.99,17.25,0.0,
1787804810.005,18.27,0.0,
1787804811.021,19.28,0.0034799114204365766,
1787804812.037,20.3,0.0,
1787804813.052,21.32,0.0,
1787804814.069,22.33,0.0,
1787804815.086,23.35,0.0,
1787804816.101,24.36,0.0,
1787804817.118,25.38,0.003796267004112619,
1787804818.134,26.4,0.0,
1787804819.15,27.41,0.0,
1787804820.166,28.43,0.0,
1787804821.183,29.45,0.0,
1787804822.2,30.46,0.0,
1787804823.216,31.48,0.0,
1787804824.231,32.5,0.0034799114204365766,
1787804825.252,33.52,0.003796267004112619,
1787804826.268,34.53,0.0,
1787804827.286,35.55,0.0,
1787804828.298,36.56,0.0,
1787804829.31,37.57,0.0,
1787804830.323,38.59,0.0,
1787804831.334,39.6,0.0034799114204365766,
1787804832.355,40.62,0.0,
1787804833.372,41.64,0.0,
1787804834.388,42.65,0.0,
1787804835.404,43.67,0.0,
1787804836.421,44.69,0.0,
1787804837.437,45.7,0.0,
1787804838.453,46.72,0.0,
1787804839.469,47.73,0.003796267004112619,
1787804840.488,48.75,0.0,
1787804841.505,49.77,0.0,
1787804842.522,50.79,0.0,
1787804843.538,51.8,0.0,
1787804844.554,52.82,0.0,
1787804845.571,53.84,0.0,
1787804846.587,54.85,0.003796267004112619,
1787804847.605,55.87,0.0,
1787804848.62,56.88,0.0,
1787804849.637,57.9,0.0,
1787804850.652,58.92,0.0,
1787804851.669,59.93,0.003796267004112619,
1787804852.685,60.95,0.003796267004112619,
1787804853.701,61.96,0.0,
1787804854.716,62.98,0.0,
1787804855.731,63.99,0.003796267004112619,
1787804856.746,65.01,0.003796267004112619,
1787804857.761,66.03,0.0,
1787804858.777,67.04,0.0,
1787804859.794,68.06,0.0,
1787804860.809,69.07,0.0034799114204365766,
1787804861.825,70.09,0.0,
1787804862.842,71.11,0.003796267004112619,
1787804863.858,72.12,0.0,
1787804864.87,73.13,0.0,
1787804865.886,74.15,0.0034799114204365766,
1787804866.902,75.17,0.0,
1787804867.918,76.18,0.0,
1787804868.934,77.2,0.0034799114204365766,
1787804869.952,78.22,0.0,
1787804870.968,79.23,0.003796267004112619,
1787804871.983,80.25,0.0,
1787804873.0,81.26,0.004112622587788661,
1787804874.017,82.28,0.0,
1787804875.035,83.3,0.0,
1787804876.053,84.32,0.0,
1787804877.071,85.34,0.004112622587788661,
1787804878.086,86.35,0.0,
1787804879.102,87.37,0.0,
1787804880.118,88.38,0.0,
1787804881.136,89.4,0.0,
1787804882.151,90.42,0.0,
1787804883.167,91.43,0.0,
1787804884.182,92.45,0.0,
1787804885.198,93.46,0.0,
1787804886.214,94.48,0.0,
1787804887.23,95.49,0.0,
1787804888.246,96.51,0.003796267004112619,
1787804889.264,97.53,0.0,
1787804890.281,98.54,0.0,
1787804891.298,99.56,0.0,
