Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[lspm_r0.5],54,0,9,9.26146935671568,6.414525909349322,19.205025862902403,0.0,0.6169835533563546,0.0,9,9,10,10,11,13,16,19,19,19,19
CUSTOM,tokens_per_sec[lspm_r0.5],54,0,63,63.2379380700043,60.528969416435714,72.84970988152466,24.462962962962962,0.6169835533563546,0.0,63,63,63,65,65,70,72,73,73,73,73
CUSTOM,ttft_ms[lspm_r0.5],54,0,34,33.818812031919755,29.725251020863652,43.17680490203202,0.0,0.6169835533563546,0.0,34,34,35,35,35,40,41,43,43,43,43
,Aggregated,162,0,34,35.43940648621325,6.414525909349322,72.84970988152466,8.154320987654321,1.8509506600690637,0.0,34,41,62,63,63,65,66,72,73,73,73
