Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat[naive_r0.7],4673,0,9,10.804424371383805,3.5654730163514614,423.0159199796617,0.0,54.84917538529131,0.0,9,10,12,13,17,22,38,44,75,420,420
CUSTOM,tokens_per_sec[naive_r0.7],4673,0,54,85.03637554105485,14.286246856723183,80786.37617206971,21.95506098865825,54.84917538529131,0.0,54,54,55,55,56,57,61,62,93,81000,81000
CUSTOM,ttft_ms[naive_r0.7],4673,0,64,65.20752525892767,35.60401196591556,487.992602866143,0.0,54.84917538529131,0.0,64,67,69,71,75,81,91,100,380,490,490
,Aggregated,14019,0,53,53.68277505712214,3.5654730163514614,80786.37617206971,7.318353662886083,164.54752615587395,0.0,53,55,59,62,68,72,79,87,140,63000,81000
