mode,concurrency,n_ok,n_error,pruning_latency_ms_mean,pruning_latency_ms_p95,ttft_ms_mean,ttft_ms_p95,total_latency_ms_mean,total_latency_ms_p95,throughput_req_per_s,throughput_tokens_per_s
raw,1,60,0,0.0,0.0,40.1,41.8,377.8,710.0,2.645,57.3
raw,5,60,0,0.0,0.0,52.2,66.4,433.9,855.2,11.152,266.0
raw,10,60,0,0.0,0.0,64.1,88.2,406.4,788.3,22.161,465.4
raw,20,60,0,0.0,0.0,88.4,108.1,503.9,929.4,32.862,779.4
lspm,1,60,0,34.7,30.2,67.3,66.8,409.9,732.2,2.438,53.5
lspm,5,60,0,64.3,255.2,119.9,315.6,473.0,777.8,10.14,219.7
lspm,10,48,0,163.2,556.4,222.1,624.7,554.6,833.3,13.665,272.2
lspm,20,27,0,348.7,824.0,407.0,884.7,748.2,1101.3,10.738,221.5
naive,1,60,0,0.2,0.2,37.3,38.9,721.5,2950.6,1.386,59.3
naive,5,60,0,0.2,0.2,51.3,63.4,797.7,4266.4,4.481,206.0
naive,10,60,0,0.2,0.2,52.2,63.4,590.3,1492.7,9.785,321.9
naive,20,60,0,0.2,0.2,72.6,109.4,883.2,4409.1,11.668,555.6
